ProductSKU,Ingredient,Amount,Unit
COOKIE-CHOC-DOZEN,Flour,2.25,cup
COOKIE-CHOC-DOZEN,Sugar,0.75,cup
COOKIE-CHOC-DOZEN,Brown Sugar,0.75,cup
COOKIE-CHOC-DOZEN,Butter,1,cup
COOKIE-CHOC-DOZEN,Eggs,2,each
COOKIE-CHOC-DOZEN,Chocolate Chips,2,cup
COOKIE-SUGAR-DOZEN,Flour,2.75,cup
COOKIE-SUGAR-DOZEN,Sugar,1.25,cup
COOKIE-SUGAR-DOZEN,Butter,1,cup
COOKIE-SUGAR-DOZEN,Eggs,1,each
COOKIE-SUGAR-DOZEN,Sprinkles,0.5,cup
COWBOY-CANDY-8OZ,Jalapeños,3,lb
COWBOY-CANDY-8OZ,Sugar,4,cup
COWBOY-CANDY-8OZ,Apple Cider Vinegar,2,cup
COWBOY-CANDY-8OZ,Jars + Lids,6,each
